Var_1,Var_2,Factor,pd_value,rope_value
0.30000000000000004,0.31000000000000005,19.0,1.0,0.5
0.30000000000000004,0.31000000000000005,20.0,1.0,0.0
0.30000000000000004,0.31000000000000005,21.0,1.0,0.0
0.30000000000000004,0.41000000000000003,0.0,1.0,0.0
0.30000000000000004,0.41000000000000003,1.0,1.0,0.0
0.30000000000000004,0.41000000000000003,2.0,1.0,0.0
0.30000000000000004,0.41000000000000003,3.0,0.0,1.0
0.30000000000000004,0.41000000000000003,4.0,1.0,0.0
0.30000000000000004,0.41000000000000003,5.0,1.0,0.0
0.30000000000000004,0.41000000000000003,6.0,1.0,0.0
0.30000000000000004,0.41000000000000003,7.0,1.0,0.0
0.30000000000000004,0.41000000000000003,8.0,1.0,1.0
0.30000000000000004,0.41000000000000003,9.0,1.0,1.0
0.30000000000000004,0.41000000000000003,10.0,1.0,0.0
0.30000000000000004,0.41000000000000003,11.0,1.0,0.0
0.30000000000000004,0.41000000000000003,12.0,1.0,1.0
0.30000000000000004,0.41000000000000003,13.0,1.0,0.5
0.30000000000000004,0.41000000000000003,14.0,1.0,0.0
0.30000000000000004,0.41000000000000003,15.0,1.0,0.0
0.30000000000000004,0.41000000000000003,16.0,0.5,0.5
0.30000000000000004,0.41000000000000003,17.0,1.0,0.0
0.30000000000000004,0.41000000000000003,18.0,0.0,1.0
0.30000000000000004,0.41000000000000003,19.0,1.0,0.0
0.30000000000000004,0.41000000000000003,20.0,1.0,0.0
0.30000000000000004,0.41000000000000003,21.0,1.0,0.0
0.4,0.01,0.0,1.0,0.0
0.4,0.01,1.0,1.0,0.0
0.4,0.01,2.0,1.0,0.0
0.4,0.01,3.0,0.0,1.0
0.4,0.01,4.0,1.0,0.0
0.4,0.01,5.0,1.0,0.0
0.4,0.01,6.0,1.0,0.0
0.4,0.01,7.0,1.0,0.0
0.4,0.01,8.0,1.0,1.0
0.4,0.01,9.0,1.0,1.0
0.4,0.01,10.0,1.0,0.0
0.4,0.01,11.0,1.0,0.0
0.4,0.01,12.0,1.0,1.0
0.4,0.01,13.0,1.0,0.0
0.4,0.01,14.0,1.0,0.0
0.4,0.01,15.0,1.0,0.0
0.4,0.01,16.0,1.0,1.0
0.4,0.01,17.0,1.0,0.0
0.4,0.01,18.0,1.0,0.0
0.4,0.01,19.0,1.0,0.0
0.4,0.01,20.0,1.0,0.0
0.4,0.01,21.0,1.0,0.0
0.4,0.11,0.0,1.0,0.0
0.4,0.11,1.0,1.0,0.0
