Var,Factor,pd_value
18.0,18.0,0.988
18.0,19.0,0.552
18.0,20.0,0.986
18.0,21.0,1.0
19.0,0.0,0.938
19.0,1.0,0.954
19.0,2.0,0.952
19.0,3.0,1.0
19.0,4.0,0.89
19.0,5.0,0.13
19.0,6.0,0.838
19.0,7.0,0.29
19.0,8.0,1.0
19.0,9.0,0.212
19.0,10.0,0.232
19.0,11.0,0.244
19.0,12.0,0.724
19.0,13.0,0.938
19.0,14.0,0.216
19.0,15.0,0.942
19.0,16.0,0.766
19.0,17.0,0.3
19.0,18.0,0.856
19.0,19.0,0.984
19.0,20.0,0.974
19.0,21.0,1.0
20.0,0.0,0.952
20.0,1.0,0.972
20.0,2.0,0.972
20.0,3.0,1.0
20.0,4.0,0.4
20.0,5.0,0.106
20.0,6.0,0.442
20.0,7.0,0.25
20.0,8.0,1.0
20.0,9.0,0.22
20.0,10.0,0.534
20.0,11.0,0.262
20.0,12.0,0.32
20.0,13.0,0.95
20.0,14.0,0.456
20.0,15.0,0.968
20.0,16.0,0.456
20.0,17.0,0.096
20.0,18.0,0.428
20.0,19.0,0.168
20.0,20.0,0.998
20.0,21.0,1.0
21.0,0.0,0.918
21.0,1.0,0.944
21.0,2.0,0.94
21.0,3.0,1.0
21.0,4.0,0.374
21.0,5.0,0.17
21.0,6.0,0.362
21.0,7.0,0.358
21.0,8.0,1.0
21.0,9.0,0.21
21.0,10.0,0.608
21.0,11.0,0.244
21.0,12.0,0.254
21.0,13.0,0.916
21.0,14.0,0.444
21.0,15.0,0.94
21.0,16.0,0.402
21.0,17.0,0.17
21.0,18.0,0.364
21.0,19.0,0.188
21.0,20.0,0.856
21.0,21.0,1.0
