Net_ID,Var,Factor,intervention_effect
2.0,2.01,18.0,0.0006651719872647899
2.0,2.01,19.0,-0.004480689479124611
2.0,2.01,20.0,0.00275104439804863
2.0,2.01,21.0,-0.0001398707218453754
3.0,0.01,0.0,-0.0017923739479162593
3.0,0.01,1.0,-0.0003176256171195657
3.0,0.01,2.0,0.0004194539451561341
3.0,0.01,3.0,-7.641871718755411e-10
3.0,0.01,4.0,2.8305107763360038e-05
3.0,0.01,5.0,-6.385172724696075e-05
3.0,0.01,6.0,-0.00046596228696438313
3.0,0.01,7.0,-0.00010064078218251227
3.0,0.01,8.0,-1.1877755584643879e-09
3.0,0.01,9.0,-0.0021034383141334545
3.0,0.01,10.0,8.083306990785966e-05
3.0,0.01,11.0,-2.3058253119379035e-07
3.0,0.01,12.0,-9.351195834117476e-06
3.0,0.01,13.0,0.00042044370703950285
3.0,0.01,14.0,-8.738468622596779e-05
3.0,0.01,15.0,-5.1997013657684166e-06
3.0,0.01,16.0,-0.0004608904167935357
3.0,0.01,17.0,-0.00028857031711315706
3.0,0.01,18.0,-0.00021311242918420348
3.0,0.01,19.0,-0.00045616570421580516
3.0,0.01,20.0,7.873685819420606e-05
3.0,0.01,21.0,-0.00019573714543367343
3.0,0.51,0.0,0.009832765030952262
3.0,0.51,1.0,6.310956704724813e-06
3.0,0.51,2.0,0.0024370286054123114
3.0,0.51,3.0,-7.641871579977533e-10
3.0,0.51,4.0,-0.0009648413618609797
3.0,0.51,5.0,-0.0023121071939748994
3.0,0.51,6.0,-0.00044903328287870803
3.0,0.51,7.0,-0.001221625307952022
3.0,0.51,8.0,-1.1877755584643879e-09
3.0,0.51,9.0,-0.0032725731159979595
3.0,0.51,10.0,-0.00029104198380894286
3.0,0.51,11.0,-2.305825323872801e-07
3.0,0.51,12.0,-0.0005113122386010138
3.0,0.51,13.0,0.001928658429284108
3.0,0.51,14.0,0.0006101811293430584
3.0,0.51,15.0,1.5293982387934446e-05
3.0,0.51,16.0,-0.001360848033457679
3.0,0.51,17.0,-0.0033771403773497632
3.0,0.51,18.0,-0.00042724173369929064
3.0,0.51,19.0,-0.0011932502133994438
3.0,0.51,20.0,0.0009750428311124937
3.0,0.51,21.0,-0.00019573714855043028
3.0,1.01,0.0,0.020850141901415487
