Var_1,Var_2,Factor,pd_value,rope_value
0.2,0.31000000000000005,1.0,1.0,0.0
0.2,0.31000000000000005,2.0,0.976,0.0
0.2,0.31000000000000005,3.0,0.0,1.0
0.2,0.31000000000000005,4.0,0.72,0.128
0.2,0.31000000000000005,5.0,0.272,0.02
0.2,0.31000000000000005,6.0,0.932,0.004
0.2,0.31000000000000005,7.0,0.34,0.032
0.2,0.31000000000000005,8.0,1.0,0.0
0.2,0.31000000000000005,9.0,0.364,0.708
0.2,0.31000000000000005,10.0,0.792,0.096
0.2,0.31000000000000005,11.0,1.0,1.0
0.2,0.31000000000000005,12.0,0.74,0.26
0.2,0.31000000000000005,13.0,1.0,0.024
0.2,0.31000000000000005,14.0,0.364,0.092
0.2,0.31000000000000005,15.0,1.0,0.0
0.2,0.31000000000000005,16.0,0.648,0.048
0.2,0.31000000000000005,17.0,0.392,0.032
0.2,0.31000000000000005,18.0,0.828,0.052
0.2,0.31000000000000005,19.0,0.66,0.036
0.2,0.31000000000000005,20.0,1.0,0.0
0.2,0.31000000000000005,21.0,1.0,0.0
0.2,0.41000000000000003,0.0,0.876,0.024
0.2,0.41000000000000003,1.0,1.0,0.0
0.2,0.41000000000000003,2.0,0.968,0.004
0.2,0.41000000000000003,3.0,0.0,1.0
0.2,0.41000000000000003,4.0,0.668,0.18
0.2,0.41000000000000003,5.0,0.224,0.048
0.2,0.41000000000000003,6.0,0.908,0.012
0.2,0.41000000000000003,7.0,0.28,0.048
0.2,0.41000000000000003,8.0,1.0,0.0
0.2,0.41000000000000003,9.0,0.312,0.668
0.2,0.41000000000000003,10.0,0.584,0.072
0.2,0.41000000000000003,11.0,1.0,1.0
0.2,0.41000000000000003,12.0,0.68,0.204
0.2,0.41000000000000003,13.0,0.984,0.044
0.2,0.41000000000000003,14.0,0.356,0.172
0.2,0.41000000000000003,15.0,1.0,0.0
0.2,0.41000000000000003,16.0,0.668,0.068
0.2,0.41000000000000003,17.0,0.272,0.048
0.2,0.41000000000000003,18.0,0.812,0.028
0.2,0.41000000000000003,19.0,0.56,0.052
0.2,0.41000000000000003,20.0,1.0,0.0
0.2,0.41000000000000003,21.0,1.0,0.0
0.30000000000000004,0.01,0.0,1.0,0.0
0.30000000000000004,0.01,1.0,1.0,0.0
0.30000000000000004,0.01,2.0,1.0,0.0
0.30000000000000004,0.01,3.0,0.0,1.0
0.30000000000000004,0.01,4.0,1.0,0.0
0.30000000000000004,0.01,5.0,0.0,0.0
0.30000000000000004,0.01,6.0,1.0,0.0
0.30000000000000004,0.01,7.0,0.0,0.0
0.30000000000000004,0.01,8.0,1.0,0.0
0.30000000000000004,0.01,9.0,0.0,1.0
0.30000000000000004,0.01,10.0,1.0,0.0
0.30000000000000004,0.01,11.0,1.0,1.0
0.30000000000000004,0.01,12.0,1.0,0.0
0.30000000000000004,0.01,13.0,1.0,0.0
0.30000000000000004,0.01,14.0,0.024,0.132
0.30000000000000004,0.01,15.0,1.0,0.0
0.30000000000000004,0.01,16.0,1.0,0.0
0.30000000000000004,0.01,17.0,0.0,0.0
0.30000000000000004,0.01,18.0,1.0,0.0
0.30000000000000004,0.01,19.0,0.004,0.06
0.30000000000000004,0.01,20.0,1.0,0.0
0.30000000000000004,0.01,21.0,1.0,0.0
0.30000000000000004,0.11,0.0,0.996,0.0
0.30000000000000004,0.11,1.0,1.0,0.0
0.30000000000000004,0.11,2.0,1.0,0.0
0.30000000000000004,0.11,3.0,0.0,1.0
0.30000000000000004,0.11,4.0,0.928,0.02
0.30000000000000004,0.11,5.0,0.06,0.004
0.30000000000000004,0.11,6.0,0.996,0.004
0.30000000000000004,0.11,7.0,0.124,0.024
0.30000000000000004,0.11,8.0,1.0,0.0
0.30000000000000004,0.11,9.0,0.2,0.908
0.30000000000000004,0.11,10.0,0.948,0.108
