Var,Factor,pd_value
16.0,13.0,0.882
16.0,14.0,0.244
16.0,15.0,0.898
16.0,16.0,0.964
16.0,17.0,0.308
16.0,18.0,0.914
16.0,19.0,0.724
16.0,20.0,0.964
16.0,21.0,1.0
17.0,0.0,0.536
17.0,1.0,0.566
17.0,2.0,0.55
17.0,3.0,1.0
17.0,4.0,0.312
17.0,5.0,0.154
17.0,6.0,0.34
17.0,7.0,0.332
17.0,8.0,1.0
17.0,9.0,0.342
17.0,10.0,0.502
17.0,11.0,0.256
17.0,12.0,0.316
17.0,13.0,0.524
17.0,14.0,0.344
17.0,15.0,0.578
17.0,16.0,0.386
17.0,17.0,0.06
17.0,18.0,0.382
17.0,19.0,0.316
17.0,20.0,0.62
17.0,21.0,1.0
18.0,0.0,0.878
18.0,1.0,0.896
18.0,2.0,0.898
18.0,3.0,1.0
18.0,4.0,0.866
18.0,5.0,0.208
18.0,6.0,0.818
18.0,7.0,0.412
18.0,8.0,1.0
18.0,9.0,0.252
18.0,10.0,0.166
18.0,11.0,0.22
18.0,12.0,0.854
18.0,13.0,0.874
18.0,14.0,0.288
18.0,15.0,0.872
18.0,16.0,0.746
18.0,17.0,0.288
18.0,18.0,0.954
18.0,19.0,0.552
18.0,20.0,0.966
18.0,21.0,1.0
19.0,0.0,0.794
19.0,1.0,0.814
19.0,2.0,0.806
19.0,3.0,1.0
19.0,4.0,0.828
19.0,5.0,0.21
19.0,6.0,0.74
19.0,7.0,0.408
19.0,8.0,1.0
19.0,9.0,0.256
19.0,10.0,0.298
19.0,11.0,0.242
19.0,12.0,0.668
19.0,13.0,0.796
19.0,14.0,0.222
19.0,15.0,0.814
19.0,16.0,0.684
19.0,17.0,0.312
19.0,18.0,0.756
19.0,19.0,0.878
19.0,20.0,0.884
19.0,21.0,1.0
20.0,0.0,0.778
20.0,1.0,0.8
20.0,2.0,0.796
20.0,3.0,1.0
20.0,4.0,0.43
20.0,5.0,0.232
20.0,6.0,0.366
20.0,7.0,0.432
20.0,8.0,1.0
20.0,9.0,0.25
20.0,10.0,0.576
20.0,11.0,0.234
20.0,12.0,0.316
20.0,13.0,0.772
20.0,14.0,0.372
20.0,15.0,0.788
20.0,16.0,0.404
20.0,17.0,0.222
20.0,18.0,0.408
20.0,19.0,0.298
20.0,20.0,0.988
20.0,21.0,1.0
21.0,0.0,0.776
21.0,1.0,0.81
21.0,2.0,0.8
21.0,3.0,1.0
21.0,4.0,0.436
21.0,5.0,0.246
21.0,6.0,0.404
21.0,7.0,0.43
21.0,8.0,1.0
21.0,9.0,0.29
21.0,10.0,0.572
21.0,11.0,0.224
21.0,12.0,0.328
21.0,13.0,0.78
21.0,14.0,0.382
21.0,15.0,0.814
21.0,16.0,0.41
21.0,17.0,0.248
21.0,18.0,0.426
21.0,19.0,0.296
21.0,20.0,0.818
21.0,21.0,1.0
